id,capacidad,estilo,servicios_tipo
1,128,Jazz,bar
2,54,Bachata,bar
3,145,Baladas,bar
4,106,Bachata,bar
5,177,Salsa,bar
6,126,Salsa,bar
7,38,Jazz,bar
8,27,Jazz,bar
9,80,Bachata,bar
10,168,Salsa,bar
11,129,Crossover,bar
12,65,Bachata,bar
13,64,Baladas,bar
14,68,Baladas,bar
15,23,Bachata,bar
16,41,Jazz,bar
17,132,Bachata,bar
18,174,Salsa,bar
19,42,Baladas,bar
20,106,Crossover,bar
21,89,Crossover,bar
22,47,Baladas,bar
23,187,Salsa,bar
24,20,Jazz,bar
25,42,Salsa,bar
26,53,Jazz,bar
27,109,Baladas,bar
28,184,Crossover,bar
29,161,Jazz,bar
30,130,Jazz,bar
31,65,Jazz,bar
32,46,Bachata,bar
33,91,Crossover,bar
34,186,Baladas,bar
35,117,Jazz,bar
36,121,Jazz,bar
37,107,Salsa,bar
38,76,Jazz,bar
39,53,Jazz,bar
40,108,Jazz,bar
41,90,Salsa,bar
42,53,Crossover,bar
43,109,Bachata,bar
44,73,Crossover,bar
45,188,Baladas,bar
46,182,Baladas,bar
47,60,Salsa,bar
48,32,Jazz,bar
49,135,Bachata,bar
50,83,Jazz,bar
51,103,Bachata,bar
52,63,Crossover,bar
53,63,Salsa,bar
54,121,Salsa,bar
55,160,Jazz,bar
56,92,Jazz,bar
57,182,Salsa,bar
58,162,Bachata,bar
59,38,Crossover,bar
60,13,Bachata,bar
61,193,Jazz,bar
62,195,Baladas,bar
63,52,Salsa,bar
64,138,Jazz,bar
65,19,Baladas,bar
66,200,Jazz,bar
67,93,Bachata,bar
68,77,Crossover,bar
69,115,Salsa,bar
70,163,Baladas,bar
71,155,Crossover,bar
72,88,Bachata,bar
73,79,Baladas,bar
74,48,Salsa,bar
75,149,Jazz,bar
76,51,Jazz,bar
77,14,Bachata,bar
78,137,Baladas,bar
79,180,Crossover,bar
80,22,Crossover,bar
81,121,Baladas,bar
82,192,Baladas,bar
83,84,Baladas,bar
84,152,Bachata,bar
85,100,Salsa,bar
86,148,Jazz,bar
87,122,Jazz,bar
88,80,Baladas,bar
89,65,Crossover,bar
90,15,Jazz,bar
91,115,Crossover,bar
92,87,Bachata,bar
93,168,Jazz,bar
94,91,Salsa,bar
95,65,Bachata,bar
96,168,Salsa,bar
97,147,Crossover,bar
98,30,Jazz,bar
99,187,Bachata,bar
100,105,Bachata,bar
101,56,Jazz,bar
102,200,Salsa,bar
103,90,Bachata,bar
104,25,Salsa,bar
105,105,Baladas,bar
106,105,Salsa,bar
107,82,Bachata,bar
108,144,Jazz,bar
109,74,Crossover,bar
110,193,Salsa,bar
111,94,Salsa,bar
112,116,Salsa,bar
113,199,Baladas,bar
114,73,Baladas,bar
115,55,Salsa,bar
116,95,Bachata,bar
117,133,Baladas,bar
118,20,Bachata,bar
119,143,Jazz,bar
120,46,Bachata,bar
121,37,Salsa,bar
122,141,Salsa,bar
123,145,Baladas,bar
124,153,Bachata,bar
125,183,Bachata,bar
126,163,Jazz,bar
127,99,Salsa,bar
128,129,Baladas,bar
129,91,Crossover,bar
130,199,Crossover,bar
131,63,Baladas,bar
132,13,Jazz,bar
133,182,Baladas,bar
134,139,Crossover,bar
135,41,Salsa,bar
136,193,Bachata,bar
137,129,Bachata,bar
138,21,Crossover,bar
139,149,Jazz,bar
140,152,Jazz,bar
141,15,Salsa,bar
142,155,Bachata,bar
143,158,Jazz,bar
144,116,Crossover,bar
145,40,Crossover,bar
146,113,Salsa,bar
147,39,Bachata,bar
148,87,Bachata,bar
149,79,Jazz,bar
150,42,Jazz,bar
151,199,Jazz,bar
152,133,Bachata,bar
153,33,Bachata,bar
154,57,Crossover,bar
155,89,Crossover,bar
156,81,Crossover,bar
157,188,Salsa,bar
158,160,Crossover,bar
159,118,Bachata,bar
160,77,Crossover,bar
161,13,Jazz,bar
162,167,Salsa,bar
163,188,Jazz,bar
164,96,Crossover,bar
165,28,Crossover,bar
166,169,Jazz,bar
167,94,Salsa,bar
168,139,Salsa,bar
169,152,Crossover,bar
170,50,Jazz,bar
171,61,Baladas,bar
172,11,Crossover,bar
173,159,Bachata,bar
174,42,Baladas,bar
175,107,Baladas,bar
176,73,Bachata,bar
177,169,Bachata,bar
178,129,Salsa,bar
179,51,Crossover,bar
180,17,Bachata,bar
181,17,Bachata,bar
182,61,Bachata,bar
183,154,Crossover,bar
184,53,Bachata,bar
185,123,Bachata,bar
186,85,Crossover,bar
187,107,Bachata,bar
188,28,Salsa,bar
189,113,Bachata,bar
190,96,Crossover,bar
191,83,Salsa,bar
192,49,Jazz,bar
193,99,Salsa,bar
194,82,Crossover,bar
195,83,Bachata,bar
196,105,Salsa,bar
197,167,Jazz,bar
198,45,Salsa,bar
199,151,Salsa,bar
200,158,Bachata,bar
201,16,Jazz,bar
202,30,Jazz,bar
203,99,Crossover,bar
204,169,Salsa,bar
205,93,Salsa,bar
206,45,Crossover,bar
207,48,Bachata,bar
208,17,Jazz,bar
209,126,Crossover,bar
210,26,Salsa,bar
211,153,Baladas,bar
212,95,Jazz,bar
213,11,Jazz,bar
214,166,Crossover,bar
215,37,Baladas,bar
216,144,Crossover,bar
217,103,Bachata,bar
218,171,Crossover,bar
219,138,Crossover,bar
220,169,Salsa,bar
221,149,Bachata,bar
222,139,Crossover,bar
223,24,Crossover,bar
224,133,Salsa,bar
225,67,Jazz,bar
226,131,Salsa,bar
227,198,Crossover,bar
228,140,Crossover,bar
229,27,Baladas,bar
230,148,Jazz,bar
231,153,Jazz,bar
232,29,Salsa,bar
233,113,Salsa,bar
234,73,Crossover,bar
235,28,Crossover,bar
236,194,Baladas,bar
237,165,Salsa,bar
238,18,Bachata,bar
239,148,Crossover,bar
240,145,Jazz,bar
241,131,Bachata,bar
242,171,Baladas,bar
243,117,Bachata,bar
244,95,Crossover,bar
245,167,Jazz,bar
246,26,Jazz,bar
247,91,Baladas,bar
248,139,Bachata,bar
249,97,Crossover,bar
250,109,Jazz,bar
251,110,Bachata,bar
252,120,Salsa,bar
253,12,Bachata,bar
254,50,Salsa,bar
255,78,Bachata,bar
256,105,Jazz,bar
257,197,Bachata,bar
258,175,Baladas,bar
259,164,Crossover,bar
260,71,Jazz,bar
261,189,Bachata,bar
262,61,Jazz,bar
263,141,Bachata,bar
264,17,Baladas,bar
265,103,Baladas,bar
266,30,Salsa,bar
267,116,Baladas,bar
268,39,Baladas,bar
269,190,Salsa,bar
270,155,Crossover,bar
271,129,Jazz,bar
272,60,Crossover,bar
273,146,Crossover,bar
274,26,Baladas,bar
275,48,Jazz,bar
276,191,Crossover,bar
277,74,Bachata,bar
278,43,Salsa,bar
279,36,Baladas,bar
280,137,Bachata,bar
281,99,Salsa,bar
282,155,Bachata,bar
283,15,Bachata,bar
284,181,Salsa,bar
285,195,Bachata,bar
286,161,Salsa,bar
287,94,Baladas,bar
288,44,Baladas,bar
289,45,Baladas,bar
290,179,Crossover,bar
291,83,Crossover,bar
292,153,Crossover,bar
293,116,Salsa,bar
294,61,Jazz,bar
295,38,Salsa,bar
296,77,Salsa,bar
297,87,Crossover,bar
298,10,Salsa,bar
299,174,Baladas,bar
300,12,Salsa,bar
301,105,Jazz,bar
302,198,Bachata,bar
303,114,Salsa,bar
304,85,Salsa,bar
305,109,Baladas,bar
306,119,Salsa,bar
307,85,Baladas,bar
308,27,Crossover,bar
309,111,Jazz,bar
310,119,Baladas,bar
311,12,Crossover,bar
312,114,Baladas,bar
313,110,Crossover,bar
314,154,Salsa,bar
315,111,Crossover,bar
316,38,Bachata,bar
317,193,Jazz,bar
318,104,Baladas,bar
319,165,Jazz,bar
320,84,Salsa,bar
321,183,Salsa,bar
322,40,Crossover,bar
323,105,Baladas,bar
324,70,Crossover,bar
325,73,Bachata,bar
326,48,Baladas,bar
327,90,Jazz,bar
328,133,Bachata,bar
329,11,Salsa,bar
330,86,Salsa,bar
331,187,Jazz,bar
