id,capacidad,costo_hora,servicios_tipo
1,90,167.93,Conferencia
2,57,280.1,Conferencia
3,84,25.77,Conferencia
4,22,420.11,Conferencia
5,123,257.96,Conferencia
6,185,209.85,Conferencia
7,86,470.25,Conferencia
8,104,22.21,Conferencia
9,136,295.87,Conferencia
10,15,86.83,Conferencia
11,120,247.27,Conferencia
12,124,177.97,Conferencia
13,25,143.14,Conferencia
14,127,243.05,Conferencia
15,113,19.16,Conferencia
16,128,344.09,Conferencia
17,197,134.07,Conferencia
18,196,451.11,Conferencia
19,140,165.67,Conferencia
20,143,213.24,Conferencia
21,94,17.45,Conferencia
22,180,280.5,Conferencia
23,25,242.56,Conferencia
24,106,398.21,Conferencia
25,31,282.45,Conferencia
26,179,348.62,Conferencia
27,110,106.92,Conferencia
28,131,289.41,Conferencia
29,87,49.46,Conferencia
30,135,385.01,Conferencia
31,73,28.43,Conferencia
32,163,135.26,Conferencia
33,193,340.87,Conferencia
34,94,206.33,Conferencia
35,160,291.2,Conferencia
36,91,224.8,Conferencia
37,165,191.66,Conferencia
38,115,430.91,Conferencia
39,117,428.98,Conferencia
40,106,445.58,Conferencia
41,59,272.16,Conferencia
42,184,357.23,Conferencia
43,62,180.77,Conferencia
44,162,123.81,Conferencia
45,130,26.51,Conferencia
46,128,189.71,Conferencia
47,149,376.33,Conferencia
48,120,411.59,Conferencia
49,146,368.82,Conferencia
50,117,144.62,Conferencia
51,111,491.48,Conferencia
52,80,43.36,Conferencia
53,60,397.09,Conferencia
54,37,157.9,Conferencia
55,195,47.42,Conferencia
56,41,286.39,Conferencia
57,160,472.94,Conferencia
58,72,252.89,Conferencia
59,22,410.36,Conferencia
60,42,89.62,Conferencia
61,61,478.85,Conferencia
62,113,65.33,Conferencia
63,80,272.77,Conferencia
64,31,362.45,Conferencia
65,155,381.33,Conferencia
66,57,331.19,Conferencia
67,98,349.72,Conferencia
68,108,359.51,Conferencia
69,184,421.05,Conferencia
70,194,169.8,Conferencia
71,29,126.34,Conferencia
72,63,426.34,Conferencia
73,122,170.71,Conferencia
74,60,440.84,Conferencia
75,123,322.04,Conferencia
76,193,309.23,Conferencia
77,45,127.89,Conferencia
78,27,412.6,Conferencia
79,125,209.26,Conferencia
80,103,33.96,Conferencia
81,99,172.9,Conferencia
82,48,214.68,Conferencia
83,181,73.0,Conferencia
84,11,65.38,Conferencia
85,186,345.18,Conferencia
86,109,494.75,Conferencia
87,112,164.5,Conferencia
88,109,194.01,Conferencia
89,159,21.66,Conferencia
90,193,382.94,Conferencia
91,45,303.0,Conferencia
92,190,214.5,Conferencia
93,66,91.4,Conferencia
94,164,222.87,Conferencia
95,159,221.44,Conferencia
96,127,20.71,Conferencia
97,53,299.39,Conferencia
98,24,92.34,Conferencia
99,185,281.4,Conferencia
