id,nombre,precio
1,Producto_1,91.78
2,Producto_2,33.93
3,Producto_3,67.55
4,Producto_4,21.14
5,Producto_5,84.35
6,Producto_6,75.96
7,Producto_7,62.63
8,Producto_8,36.65
9,Producto_9,68.86
10,Producto_10,3.89
11,Producto_11,11.88
12,Producto_12,9.67
13,Producto_13,67.7
14,Producto_14,55.12
15,Producto_15,7.95
16,Producto_16,30.64
17,Producto_17,8.94
18,Producto_18,54.64
19,Producto_19,63.65
20,Producto_20,44.89
21,Producto_21,22.22
22,Producto_22,96.08
23,Producto_23,98.81
24,Producto_24,37.2
25,Producto_25,61.61
26,Producto_26,19.35
27,Producto_27,9.28
28,Producto_28,48.39
29,Producto_29,31.41
30,Producto_30,27.32
31,Producto_31,28.36
32,Producto_32,27.26
33,Producto_33,49.96
34,Producto_34,44.11
35,Producto_35,85.56
36,Producto_36,70.25
37,Producto_37,42.98
38,Producto_38,32.65
39,Producto_39,61.65
40,Producto_40,21.12
41,Producto_41,58.37
42,Producto_42,52.18
43,Producto_43,27.46
44,Producto_44,96.8
45,Producto_45,8.92
46,Producto_46,87.12
47,Producto_47,92.36
48,Producto_48,77.78
49,Producto_49,76.32
50,Producto_50,2.33
51,Producto_51,35.39
52,Producto_52,69.03
53,Producto_53,99.06
54,Producto_54,91.61
55,Producto_55,68.38
56,Producto_56,86.45
57,Producto_57,45.52
58,Producto_58,75.38
59,Producto_59,23.73
60,Producto_60,96.96
61,Producto_61,95.17
62,Producto_62,19.55
63,Producto_63,41.01
64,Producto_64,63.86
65,Producto_65,50.22
66,Producto_66,6.78
67,Producto_67,81.98
68,Producto_68,70.46
69,Producto_69,64.47
70,Producto_70,74.48
71,Producto_71,48.46
72,Producto_72,71.79
73,Producto_73,61.86
74,Producto_74,16.97
75,Producto_75,91.24
76,Producto_76,34.03
77,Producto_77,28.12
78,Producto_78,43.56
79,Producto_79,13.56
80,Producto_80,40.17
81,Producto_81,32.62
82,Producto_82,78.57
83,Producto_83,16.23
84,Producto_84,47.78
85,Producto_85,52.85
86,Producto_86,70.86
87,Producto_87,18.32
88,Producto_88,45.94
89,Producto_89,4.03
90,Producto_90,9.83
91,Producto_91,60.81
92,Producto_92,33.01
93,Producto_93,12.35
94,Producto_94,55.49
95,Producto_95,91.94
96,Producto_96,21.24
97,Producto_97,27.3
98,Producto_98,84.72
99,Producto_99,61.61
