id,nombre,precio
1,Producto_1,37.55
2,Producto_2,38.07
3,Producto_3,9.61
4,Producto_4,19.26
5,Producto_5,21.38
6,Producto_6,22.78
7,Producto_7,40.86
8,Producto_8,11.48
9,Producto_9,8.49
10,Producto_10,44.16
11,Producto_11,40.48
12,Producto_12,28.3
13,Producto_13,48.73
14,Producto_14,38.72
15,Producto_15,31.89
16,Producto_16,47.56
17,Producto_17,47.35
18,Producto_18,29.38
19,Producto_19,49.81
20,Producto_20,23.92
21,Producto_21,42.52
22,Producto_22,38.56
23,Producto_23,37.3
24,Producto_24,3.83
25,Producto_25,37.84
26,Producto_26,42.34
27,Producto_27,27.03
28,Producto_28,24.12
29,Producto_29,47.8
30,Producto_30,17.64
31,Producto_31,40.65
32,Producto_32,30.81
33,Producto_33,24.15
34,Producto_34,23.98
35,Producto_35,8.17
36,Producto_36,19.0
37,Producto_37,28.58
38,Producto_38,35.58
39,Producto_39,21.43
40,Producto_40,24.88
41,Producto_41,19.65
42,Producto_42,22.86
43,Producto_43,8.3
44,Producto_44,2.27
45,Producto_45,41.43
46,Producto_46,36.95
47,Producto_47,43.18
48,Producto_48,22.58
49,Producto_49,42.91
50,Producto_50,21.01
51,Producto_51,10.45
52,Producto_52,31.26
53,Producto_53,1.58
54,Producto_54,5.98
55,Producto_55,12.69
56,Producto_56,39.26
57,Producto_57,38.63
58,Producto_58,48.4
59,Producto_59,33.84
60,Producto_60,21.62
61,Producto_61,14.19
62,Producto_62,41.82
63,Producto_63,42.92
64,Producto_64,41.69
65,Producto_65,9.4
66,Producto_66,27.93
67,Producto_67,10.93
68,Producto_68,39.09
69,Producto_69,48.28
70,Producto_70,46.66
71,Producto_71,12.84
72,Producto_72,40.9
73,Producto_73,45.0
74,Producto_74,5.06
75,Producto_75,39.05
76,Producto_76,18.21
77,Producto_77,4.73
78,Producto_78,48.47
79,Producto_79,5.24
80,Producto_80,6.29
81,Producto_81,30.32
82,Producto_82,2.48
83,Producto_83,9.53
84,Producto_84,46.73
85,Producto_85,32.66
86,Producto_86,2.48
87,Producto_87,23.16
88,Producto_88,18.64
89,Producto_89,12.36
90,Producto_90,38.75
91,Producto_91,12.57
92,Producto_92,44.12
93,Producto_93,11.13
94,Producto_94,39.57
95,Producto_95,47.27
96,Producto_96,34.26
97,Producto_97,24.84
98,Producto_98,25.22
99,Producto_99,39.05
